timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1743939097908,588,/user/search-4,404,,Thread Group 1-1,text,false,,174,238,1,1,http://localhost:8080/user/search?first_name=Мн&last_name=Лт,588,0,0
1743939098498,577,/user/search-4,404,,Thread Group 1-1,text,false,,174,238,1,1,http://localhost:8080/user/search?first_name=Ер&last_name=Ве,577,0,0
1743939099076,665,/user/search-4,200,,Thread Group 1-1,text,true,,55328,238,1,1,http://localhost:8080/user/search?first_name=Вл&last_name=Го,664,0,0
1743939099744,612,/user/search-4,404,,Thread Group 1-1,text,false,,174,238,1,1,http://localhost:8080/user/search?first_name=Бб&last_name=Вж,612,0,0
1743939100357,527,/user/search-4,404,,Thread Group 1-1,text,false,,174,238,1,1,http://localhost:8080/user/search?first_name=Ба&last_name=Зз,527,0,0
1743939100884,522,/user/search-4,404,,Thread Group 1-1,text,false,,174,238,1,1,http://localhost:8080/user/search?first_name=Кн&last_name=Ам,521,0,0
1743939101406,526,/user/search-4,404,,Thread Group 1-1,text,false,,174,238,1,1,http://localhost:8080/user/search?first_name=Км&last_name=Бо,526,0,0
1743939101932,516,/user/search-4,404,,Thread Group 1-1,text,false,,174,238,1,1,http://localhost:8080/user/search?first_name=Дз&last_name=Зз,515,0,0
1743939102448,605,/user/search-4,200,,Thread Group 1-1,text,true,,57873,238,1,1,http://localhost:8080/user/search?first_name=Ел&last_name=Гр,602,0,0
1743939103054,699,/user/search-4,404,,Thread Group 1-1,text,false,,174,238,1,1,http://localhost:8080/user/search?first_name=Гм&last_name=Гл,699,0,0
1743939103755,597,/user/search-4,404,,Thread Group 1-1,text,false,,174,238,1,1,http://localhost:8080/user/search?first_name=Бр&last_name=Дв,597,0,0
1743939104353,530,/user/search-4,404,,Thread Group 1-1,text,false,,174,238,1,1,http://localhost:8080/user/search?first_name=Гв&last_name=Ед,530,0,0
1743939104884,551,/user/search-4,404,,Thread Group 1-1,text,false,,174,238,1,1,http://localhost:8080/user/search?first_name=Лг&last_name=Нс,550,0,0
1743939105435,515,/user/search-4,404,,Thread Group 1-1,text,false,,174,238,1,1,http://localhost:8080/user/search?first_name=Ит&last_name=Гв,515,0,0
